期刊名称,类型,别名,ISSN,中国科协高质量期刊标签,FMS学科,FMS主办单位,FMS JCR排名
European Journal of Industrial Relations,期刊,,0959-6801,管理科学 C（2025总汇）,人力资源管理,,27
Human Resource Development International,期刊,,1367-8868,管理科学 C（2025总汇）,人力资源管理,,11
Human Resource Development Review,期刊,,1534-4843,管理科学 C（2025总汇）,人力资源管理,,7
International Journal of Manpower,期刊,,0143-7720,管理科学 C（2025总汇）,人力资源管理,,15
International Journal of Selection and Assessment,期刊,,0965-075X,管理科学 C（2025总汇）,人力资源管理,,24
International Labour Review,期刊,,0020-7780,管理科学 C（2025总汇）,人力资源管理,,20
Journal of Industrial Relations,期刊,,0022-1856,管理科学 C（2025总汇）,人力资源管理,,20
LABOUR: Review of Labour Economics and Industrial Relations,期刊,,1467-9914,管理科学 C（2025总汇）,人力资源管理,,31
Personnel Review,期刊,,0048-3486,管理科学 C（2025总汇）,人力资源管理,,9
Public Personnel Management,期刊,,0091-0260,管理科学 C（2025总汇）,人力资源管理,,20
Relations Industrielles-Industrial Relations,期刊,,0034-379X,管理科学 C（2025总汇）,人力资源管理,,30
Review of Public Personnel Administration,期刊,,0734-371X,管理科学 D（2025总汇）,人力资源管理,,18
Journal of the Association for Information Science and Technology,期刊,,2330-1635,管理科学 A（2025总汇）,图书情报管理,,2
Information Processing & Management,期刊,,0306-4573,管理科学 B（2025总汇）,图书情报管理,,1
Journal of Documentation,期刊,,0022-0418,管理科学 B（2025总汇）,图书情报管理,,11
Journal of Information Science,期刊,,0165-5515,管理科学 B（2025总汇）,图书情报管理,,13
Journal of Informetrics,期刊,,1751-1577,管理科学 B（2025总汇）,图书情报管理,,3
Learned Publishing,期刊,,1741-4857,管理科学 B（2025总汇）,图书情报管理,,7
Library & Information science Research,期刊,,0740-8188,管理科学 B（2025总汇）,图书情报管理,,8
Scientometrics,期刊,,0138-9130,管理科学 B（2025总汇）,图书情报管理,,3
Journal of Academic Librarianship,期刊,,0099-1333,管理科学 C（2025总汇）,图书情报管理,,8
Journal of Scholarly Publishing,期刊,,1198-9742,管理科学 C（2025总汇）,图书情报管理,,16
Library Quarterly,期刊,,0024-2519,管理科学 C（2025总汇）,图书情报管理,,14
Online Information Review,期刊,,1468-4527,管理科学 C（2025总汇）,图书情报管理,,3
Quantitative Science Studies,期刊,,2641-3337,管理科学 C（2025总汇）,图书情报管理,,3
Data and Information Management,期刊,,2543-9251,管理科学 D（2025总汇）,图书情报管理,,17
Electronic Library,期刊,,0264-0473,管理科学 D（2025总汇）,图书情报管理,,14
Journal of Data and Information Science,期刊,,2096-157X,管理科学 D（2025总汇）,图书情报管理,,12
Journal of Librarianship and Information Science,期刊,,0961-0006,管理科学 D（2025总汇）,图书情报管理,,10
Health Economics,期刊,,1057-9230,管理科学 A（2025总汇）,卫生管理与经济,,23
Journal of Health Economics,期刊,,0167-6296,管理科学 A（2025总汇）,卫生管理与经济,,9
American Journal of Health Economics,期刊,,2332-3493,管理科学 B（2025总汇）,卫生管理与经济,,26
American Journal of Public Health,期刊,,0090-0036,管理科学 B（2025总汇）,卫生管理与经济,,1
Health Services Research,期刊,,0017-9124,管理科学 B（2025总汇）,卫生管理与经济,,13
Medical Decision Making,期刊,,0272-989X,管理科学 B（2025总汇）,卫生管理与经济,,25
Social Science & Medicine,期刊,,0277-9536,管理科学 B（2025总汇）,卫生管理与经济,,3
Sociology of Health & Illness,期刊,,0141-9889,管理科学 B（2025总汇）,卫生管理与经济,,20
European Journal of Health Economics,期刊,,1618-7598,管理科学 C（2025总汇）,卫生管理与经济,,16
Health Care Management Review,期刊,,0361-6274,管理科学 C（2025总汇）,卫生管理与经济,,17
Health Care Management Science,期刊,,1386-9620,管理科学 C（2025总汇）,卫生管理与经济,,26
Health Policy,期刊,,0168-8510,管理科学 C（2025总汇）,卫生管理与经济,,10
International Journal of Health Economics and Management,期刊,,2199-9023,管理科学 C（2025总汇）,卫生管理与经济,,28
International Journal of Medical Informatics,期刊,,1386-5056,管理科学 C（2025总汇）,卫生管理与经济,,7
International Journal of Technology Assessment in Health Care,期刊,,0266-4623,管理科学 C（2025总汇）,卫生管理与经济,,14
"Journal of Health Politics, Policy and Law",期刊,,0361-6878,管理科学 C（2025总汇）,卫生管理与经济,,17
Journal of Health Services Research & Policy,期刊,,1355-8196,管理科学 C（2025总汇）,卫生管理与经济,,20
Journal of the American Medical Informatics Association,期刊,,1067-5027,管理科学 C（2025总汇）,卫生管理与经济,,4
Medical Care,期刊,,0025-7079,管理科学 C（2025总汇）,卫生管理与经济,,17
Milbank Quarterly,期刊,,0887-378X,管理科学 C（2025总汇）,卫生管理与经济,,7
Occupational and Environmental Medicine,期刊,,1351-0711,管理科学 C（2025总汇）,卫生管理与经济,,14
PharmacoEconomics,期刊,,1170-7690,管理科学 C（2025总汇）,卫生管理与经济,,4
Quality of Life Research,期刊,,0962-9343,管理科学 C（2025总汇）,卫生管理与经济,,20
"Scandinavian Journal of Work, Environment & Health",期刊,,0355-3140,管理科学 C（2025总汇）,卫生管理与经济,,6
Applied Health Economics and Health Policy,期刊,,1175-5652,管理科学 D（2025总汇）,卫生管理与经济,,11
BMJ Quality & Safety,期刊,,2044-5415,管理科学 D（2025总汇）,卫生管理与经济,,2
Health Economics Policy and Law,期刊,,1744-1331,管理科学 D（2025总汇）,卫生管理与经济,,11
Health Promotion International,期刊,,1460-2245,管理科学 D（2025总汇）,卫生管理与经济,,23
Health Services Management Research,期刊,,0951-4848,管理科学 D（2025总汇）,卫生管理与经济,,29
Journal of Applied Psychology,期刊,,0021-9010,管理科学 A（2025总汇）,心理学,,5
Organizational Behavior and Human Decision Processes,期刊,,0749-5978,管理科学 A（2025总汇）,心理学,,13
Personnel Psychology,期刊,,0031-5826,管理科学 A（2025总汇）,心理学,,4
Psychological Science,期刊,,0956-7976,管理科学 A（2025总汇）,心理学,,9
Annual Review of Psychology,期刊,,0066-4308,管理科学 B（2025总汇）,心理学,,1
Applied Psychology,期刊,,0269-994X,管理科学 B（2025总汇）,心理学,,11
British Journal of Psychology,期刊,,0007-1269,管理科学 B（2025总汇）,心理学,,15
British Journal of Social Psychology,期刊,,0144-6665,管理科学 B（2025总汇）,心理学,,19
Current Directions in Psychological Science,期刊,,0963-7214,管理科学 B（2025总汇）,心理学,,7
European Journal of Social Psychology,期刊,,0046-2772,管理科学 B（2025总汇）,心理学,,26
Journal of Business and Psychology,期刊,,0889-3268,管理科学 B（2025总汇）,心理学,,10
Journal of Experimental Psychology Applied,期刊,,1076-898X,管理科学 B（2025总汇）,心理学,,35
Journal of Experimental Social Psychology,期刊,,0022-1031,管理科学 B（2025总汇）,心理学,,17
Journal of Occupational and Organizational Psychology,期刊,,0963-1798,管理科学 B（2025总汇）,心理学,,14
Journal of Occupational Health Psychology,期刊,,1076-8998,管理科学 B（2025总汇）,心理学,,12
Journal of Personality and Social Psychology,期刊,,0022-3514,管理科学 B（2025总汇）,心理学,,3
Journal of Vocational Behavior,期刊,,0001-8791,管理科学 B（2025总汇）,心理学,,8
Personality and Social Psychology Bulletin,期刊,,0146-1672,管理科学 B（2025总汇）,心理学,,22
Psychological Bulletin,期刊,,0033-2909,管理科学 B（2025总汇）,心理学,,2
Psychology of Women Quarterly,期刊,,0361-6843,管理科学 B（2025总汇）,心理学,,19
Work and Stress,期刊,,0267-8373,管理科学 B（2025总汇）,心理学,,6
Acta Psychologica,期刊,,0001-6918,管理科学 C（2025总汇）,心理学,,26
Cognitive Psychology,期刊,,0010-0285,管理科学 C（2025总汇）,心理学,,19
Ergonomics,期刊,,0014-0139,管理科学 C（2025总汇）,心理学,,31
Group Dynamics-Theory research and practice,期刊,,1089-2699,管理科学 C（2025总汇）,心理学,,33
Human Performance,期刊,,0895-9285,管理科学 C（2025总汇）,心理学,,33
International Journal of Intercultural Relations,期刊,,0147-1767,管理科学 C（2025总汇）,心理学,,23
Journal of Career Assessment,期刊,,1069-0727,管理科学 C（2025总汇）,心理学,,23
Journal of Cross-Cultural Psychology,期刊,,0022-0221,管理科学 C（2025总汇）,心理学,,23
Journal of Managerial Psychology,期刊,,0268-3946,管理科学 C（2025总汇）,心理学,,26
Personality and Individual Differences,期刊,,0191-8869,管理科学 C（2025总汇）,心理学,,30
Psychological Research,期刊,,0340-0727,管理科学 C（2025总汇）,心理学,,32
Psychometrika,期刊,,0033-3123,管理科学 C（2025总汇）,心理学,,17
Quarterly Journal of Experimental Psychology,期刊,,1747-0218,管理科学 C（2025总汇）,心理学,,38
Small Group Research,期刊,,1046-4964,管理科学 C（2025总汇）,心理学,,36
Stress and Health,期刊,,1532-3005,管理科学 C（2025总汇）,心理学,,26
American Behavioral Scientist,期刊,,0002-7642,管理科学 D（2025总汇）,心理学,,37
Journal of Happiness Studies,期刊,,1389-4978,管理科学 D（2025总汇）,心理学,,15
Information Systems Research,期刊,,1047-7047,管理科学 A（2025总汇）,信息管理,,34
Journal of Management Information Systems,期刊,,0742-1222,管理科学 A（2025总汇）,信息管理,,26
Journal of the Association for Information Systems,期刊,,1536-9323,管理科学 A（2025总汇）,信息管理,,31
MIS Quarterly,期刊,,0276-7783,管理科学 A（2025总汇）,信息管理,,27
ACM Transactions on Computer-Human Interaction,期刊,,1073-0516,管理科学 B（2025总汇）,信息管理,,21
ACM Transactions on Information Systems,期刊,,1046-8188,管理科学 B（2025总汇）,信息管理,,9
ACM Transactions on Knowledge Discovery from Data,期刊,,1556-4681,管理科学 B（2025总汇）,信息管理,,36
ACM Transactions on Management Information Systems,期刊,,2158-656X,管理科学 B（2025总汇）,信息管理,,50
Communications of the ACM,期刊,,0001-0782,管理科学 B（2025总汇）,信息管理,,4
Computers in Human Behavior,期刊,,0747-5632,管理科学 B（2025总汇）,信息管理,,11
Data & Knowledge Engineering,期刊,,0169-023X,管理科学 B（2025总汇）,信息管理,,60
Data Base for Advances in Information Systems,期刊,,1532-0936,管理科学 B（2025总汇）,信息管理,,69
Decision Support Systems,期刊,,0167-9236,管理科学 B（2025总汇）,信息管理,,17
European Journal of Information Systems,期刊,,0960-085X,管理科学 B（2025总汇）,信息管理,,12
IEEE Transactions on Knowledge and Data Engineering,期刊,,1041-4347,管理科学 B（2025总汇）,信息管理,,6
IEEE Transactions on Software Engineering,期刊,,0098-5589,管理科学 B（2025总汇）,信息管理,,29
Information & Management,期刊,,0378-7206,管理科学 B（2025总汇）,信息管理,,14
Information and Organization,期刊,,1471-7727,管理科学 B（2025总汇）,信息管理,,37
Information and Software Technology,期刊,,0950-5849,管理科学 B（2025总汇）,信息管理,,41
Information Sciences,期刊,,0020-0255,管理科学 B（2025总汇）,信息管理,,17
Information Society,期刊,,0197-2243,管理科学 B（2025总汇）,信息管理,,57
Information Systems Frontiers,期刊,,1387-3326,管理科学 B（2025总汇）,信息管理,,13
Information Systems Journal,期刊,,1350-1917,管理科学 B（2025总汇）,信息管理,,24
Information Technology & People,期刊,,0959-3845,管理科学 B（2025总汇）,信息管理,,29
International Journal of Electronic Commerce,期刊,,1086-4415,管理科学 B（2025总汇）,信息管理,,48
International Journal of Information Management,期刊,,0268-4012,管理科学 B（2025总汇）,信息管理,,2
Internet Research,期刊,,1066-2243,管理科学 B（2025总汇）,信息管理,,17
Journal of Information Technology,期刊,,0268-3962,管理科学 B（2025总汇）,信息管理,,32
Journal of Knowledge Management,期刊,,1367-3270,管理科学 B（2025总汇）,信息管理,,8
Journal of Strategic Information Systems,期刊,,0963-8687,管理科学 B（2025总汇）,信息管理,,5
MIS Quarterly Executive,期刊,,1540-1960,管理科学 B（2025总汇）,信息管理,,58
ACM Computing Surveys,期刊,,0360-0300,管理科学 C（2025总汇）,信息管理,,1
AIS Transactions on Human Computer Interaction,期刊,,1944-3900,管理科学 C（2025总汇）,信息管理,,72
Behaviour & Information Technology,期刊,,0144-929X,管理科学 C（2025总汇）,信息管理,,56
Business & Information Systems Engineering,期刊,,1867-0202,管理科学 C（2025总汇）,信息管理,,6
Communications of the Association for Information Systems,期刊,,1529-3181,管理科学 C（2025总汇）,信息管理,,64
Computer Supported Cooperative Work,期刊,,0925-9724,管理科学 C（2025总汇）,信息管理,,62
Computers & Security,期刊,,0167-4048,管理科学 C（2025总汇）,信息管理,,32
Computers in Industry,期刊,,0166-3615,管理科学 C（2025总汇）,信息管理,,9
Electronic Commerce Research,期刊,,1389-5753,管理科学 C（2025总汇）,信息管理,,37
Electronic Commerce Research and Applications,期刊,,1567-4223,管理科学 C（2025总汇）,信息管理,,24
Electronic Markets,期刊,,1019-6781,管理科学 C（2025总汇）,信息管理,,17
Enterprise Information Systems,期刊,,1751-7575,管理科学 C（2025总汇）,信息管理,,45
Expert Systems,期刊,,0266-4720,管理科学 C（2025总汇）,信息管理,,62
Expert Systems with Applications,期刊,,0957-4174,管理科学 C（2025总汇）,信息管理,,16
Human-Computer Interaction,期刊,,0737-0024,管理科学 C（2025总汇）,信息管理,,40
Industrial Management & Data Systems,期刊,,0263-5577,管理科学 C（2025总汇）,信息管理,,37
Information Communication and Society,期刊,,1369-118X,管理科学 C（2025总汇）,信息管理,,55
Information Systems,期刊,,0306-4379,管理科学 C（2025总汇）,信息管理,,52
Information Systems and e-Business Management,期刊,,1617-9846,管理科学 C（2025总汇）,信息管理,,50
Information Systems Management,期刊,,1058-0530,管理科学 C（2025总汇）,信息管理,,45
Information Technology and Management,期刊,,1385-951X,管理科学 C（2025总汇）,信息管理,,58
Information Technology for Development,期刊,,0268-1102,管理科学 C（2025总汇）,信息管理,,22
International Journal of Human-Computer Studies,期刊,,1071-5819,管理科学 C（2025总汇）,信息管理,,34
Journal of Compute-Mediated Communication,期刊,,1083-6101,管理科学 C（2025总汇）,信息管理,,28
Journal of Computer Information Systems,期刊,,0887-4417,管理科学 C（2025总汇）,信息管理,,43
Journal of Electronic Commerce Research,期刊,,1938-9027,管理科学 C（2025总汇）,信息管理,,52
Journal of Enterprise Information Management,期刊,,1741-0398,管理科学 C（2025总汇）,信息管理,,22
Journal of Global Information Management,期刊,,1062-7375,管理科学 C（2025总汇）,信息管理,,45
Journal of Information Technology Theory and Application,期刊,,1532-4516,管理科学 C（2025总汇）,信息管理,,72
Journal of Manufacturing Systems,期刊,,0278-6125,管理科学 C（2025总汇）,信息管理,,3
Journal of Organizational Computing and Electronic Commerce,期刊,,1091-9392,管理科学 C（2025总汇）,信息管理,,66
Journal of Systems and Software,期刊,,0164-1212,管理科学 C（2025总汇）,信息管理,,44
Journal of the ACM,期刊,,0004-5411,管理科学 C（2025总汇）,信息管理,,61
Knowledge Management Research & Practice,期刊,,1477-8238,管理科学 C（2025总汇）,信息管理,,48
Knowledge-Based Systems,期刊,,0950-7051,管理科学 C（2025总汇）,信息管理,,15
Scandinavian Journal of Information Systems,期刊,,0905-0167,管理科学 C（2025总汇）,信息管理,,72
Annals of Data Science,期刊,,2198-5804,管理科学 D（2025总汇）,信息管理,,72
Australasian Journal of Information Systems,期刊,,1449-8618,管理科学 D（2025总汇）,信息管理,,67
Data Science and Management,期刊,,2096-739X,管理科学 D（2025总汇）,信息管理,,72
e-Service Journal,期刊,,1528-8226,管理科学 D（2025总汇）,信息管理,,72
Information Resources Management Journal,期刊,,1040-1628,管理科学 D（2025总汇）,信息管理,,71
International Journal of Knowledge Management,期刊,,1548-0666,管理科学 D（2025总汇）,信息管理,,65
International Journal of Knowledge Management Studies,期刊,,1743-8268,管理科学 D（2025总汇）,信息管理,,67
Journal of Decision Systems,期刊,,1246-0125,管理科学 D（2025总汇）,信息管理,,41
Journal of Electronic Commerce in Organizations,期刊,,1539-2937,管理科学 D（2025总汇）,信息管理,,70
Journal of Organizational and End User Computing,期刊,,1546-2234,管理科学 D（2025总汇）,信息管理,,52
Academy of Management Journal,期刊,,0001-4273,管理科学 A（2025总汇）,一般管理,,5
Academy of Management Review,期刊,,0363-7425,管理科学 A（2025总汇）,一般管理,,2
Administrative Science Quarterly,期刊,,0001-8392,管理科学 A（2025总汇）,一般管理,,15
Journal of Management,期刊,,0149-2063,管理科学 A（2025总汇）,一般管理,,9
Journal of Management Studies,期刊,,0022-2380,管理科学 A（2025总汇）,一般管理,,16
Management Science,期刊,,0025-1909,管理科学 A（2025总汇）,一般管理,,22
Academy of Management Annals,期刊,,1941-6520,管理科学 B（2025总汇）,一般管理,,1
Academy of Management Discoveries,期刊,,2168-1007,管理科学 B（2025总汇）,一般管理,,23
Academy of Management Perspectives,期刊,,1558-9080,管理科学 B（2025总汇）,一般管理,,19
British Journal of Management,期刊,,1045-3172,管理科学 B（2025总汇）,一般管理,,19
Business & Society,期刊,,0007-6503,管理科学 B（2025总汇）,一般管理,,18
Business Strategy and the Environment,期刊,,0964-4733,管理科学 B（2025总汇）,一般管理,,3
California Management Review,期刊,,0008-1256,管理科学 B（2025总汇）,一般管理,,11
Fundamental Research,期刊,,2667-3258,管理科学 B（2025总汇）,一般管理,,17
Gender & Society,期刊,,0891-2432,管理科学 B（2025总汇）,一般管理,,30
Harvard Business Review,期刊,,0017-8012,管理科学 B（2025总汇）,一般管理,,10
International Journal of Management Reviews,期刊,,1460-8545,管理科学 B（2025总汇）,一般管理,,4
Journal of Business Research,期刊,,0148-2963,管理科学 B（2025总汇）,一般管理,,6
Journal of Management Inquiry,期刊,,1056-4926,管理科学 B（2025总汇）,一般管理,,27
MIT Sloan Management Review,期刊,,1532-9194,管理科学 B（2025总汇）,一般管理,,25
Australian Journal of Management,期刊,,0312-8962,管理科学 C（2025总汇）,一般管理,,36
BRQ Business Research Quarterly,期刊,,2340-9444,管理科学 C（2025总汇）,一般管理,,30
Business Horizons,期刊,,0007-6813,管理科学 C（2025总汇）,一般管理,,13
Canadian Journal of Administrative Sciences,期刊,,0825-0383,管理科学 C（2025总汇）,一般管理,,39
Corporate Social Responsibility and Environmental Management,期刊,,1535-3958,管理科学 C（2025总汇）,一般管理,,8
European Business Review,期刊,,0955-534X,管理科学 C（2025总汇）,一般管理,,28
European Management Journal,期刊,,0263-2373,管理科学 C（2025总汇）,一般管理,,11
European Management Review,期刊,,1740-4754,管理科学 C（2025总汇）,一般管理,,33
International Studies of Management & Organization,期刊,,0020-8825,管理科学 C（2025总汇）,一般管理,,36
Journal of Business Law,期刊,,0021-9460,管理科学 C（2025总汇）,一般管理,,40
Journal of General Management,期刊,,0306-3070,管理科学 C（2025总汇）,一般管理,,38
Journal of Intellectual Capital,期刊,,1469-1930,管理科学 C（2025总汇）,一般管理,,14
Management Decision,期刊,,0025-1747,管理科学 C（2025总汇）,一般管理,,21
Review of Managerial Science,期刊,,1863-6683,管理科学 C（2025总汇）,一般管理,,7
Scandinavian Journal of Management,期刊,,0956-5221,管理科学 C（2025总汇）,一般管理,,34
Schmalenbach Journal of Business Research,期刊,,2366-6153,管理科学 C（2025总汇）,一般管理,,40
Sex Roles,期刊,,0360-0025,管理科学 C（2025总汇）,一般管理,,30
Society and Business Review,期刊,,1746-5680,管理科学 C（2025总汇）,一般管理,,24
Baltic Journal of Management,期刊,,1746-5265,管理科学 D（2025总汇）,一般管理,,34
European Business Journal,期刊,,0955-808X,管理科学 D（2025总汇）,一般管理,,40
Journal of Corporate Citizenship,期刊,,1470-5001,管理科学 D（2025总汇）,一般管理,,40
Journal of Management and Governance,期刊,,1385-3457,管理科学 D（2025总汇）,一般管理,,25
Management Research Review,期刊,,2040-8277,管理科学 D（2025总汇）,一般管理,,29
American Economic Review,期刊,,0002-8282,管理科学 A（2025总汇）,一般经济,,2
Econometrica,期刊,,0012-9682,管理科学 A（2025总汇）,一般经济,,5
Economic Journal,期刊,,0013-0133,管理科学 A（2025总汇）,一般经济,,10
International Economic Review,期刊,,0020-6598,管理科学 A（2025总汇）,一般经济,,35
Journal of Economic Perspectives,期刊,,0895-3309,管理科学 A（2025总汇）,一般经济,,4
Journal of Political Economy,期刊,,0022-3808,管理科学 A（2025总汇）,一般经济,,9
Journal of the European Economic Association,期刊,,1542-4766,管理科学 A（2025总汇）,一般经济,,11
Quarterly Journal of Economics,期刊,,0033-5533,管理科学 A（2025总汇）,一般经济,,1
Review of Economic Studies,期刊,,0034-6527,管理科学 A（2025总汇）,一般经济,,8
Review of Economics and Statistics,期刊,,0034-6535,管理科学 A（2025总汇）,一般经济,,6
American Economic Review Insights,期刊,,2640-205X,管理科学 B（2025总汇）,一般经济,,7
Cambridge Journal of Economics,期刊,,0309-166X,管理科学 B（2025总汇）,一般经济,,19
Canadian Journal of Economics,期刊,,0008-4085,管理科学 B（2025总汇）,一般经济,,43
Economic Inquiry,期刊,,0095-2583,管理科学 B（2025总汇）,一般经济,,35
Economica,期刊,,0013-0427,管理科学 B（2025总汇）,一般经济,,26
Economics Letters,期刊,,0165-1765,管理科学 B（2025总汇）,一般经济,,23
European Economic Review,期刊,,0014-2921,管理科学 B（2025总汇）,一般经济,,14
Journal of Law & Economics,期刊,,0022-2186,管理科学 B（2025总汇）,一般经济,,29
"Journal of Law, Economics & Organization",期刊,,8756-6222,管理科学 B（2025总汇）,一般经济,,35
Kyklos,期刊,,0023-5962,管理科学 B（2025总汇）,一般经济,,35
Oxford Economic Papers,期刊,,0030-7653,管理科学 B（2025总汇）,一般经济,,43
Quantitative Economics,期刊,,1759-7323,管理科学 B（2025总汇）,一般经济,,17
American Law and Economics Review,期刊,,1465-7252,管理科学 C（2025总汇）,一般经济,,51
Annals of Economics and Statistics,期刊,,0769-489X,管理科学 C（2025总汇）,一般经济,,60
Annual Review of Economics,期刊,,1941-1383,管理科学 C（2025总汇）,一般经济,,3
Contemporary Economic Policy,期刊,,1074-3529,管理科学 C（2025总汇）,一般经济,,21
Defence and Peace Economics,期刊,,1024-2694,管理科学 C（2025总汇）,一般经济,,26
Economic Record,期刊,,0013-0249,管理科学 C（2025总汇）,一般经济,,41
Economics and Philosophy,期刊,,0266-2671,管理科学 C（2025总汇）,一般经济,,29
European Journal of Political Economy,期刊,,0176-2680,管理科学 C（2025总汇）,一般经济,,14
German Economic Review,期刊,,1465-6485,管理科学 C（2025总汇）,一般经济,,32
International Review of Law and Economics,期刊,,0144-8188,管理科学 C（2025总汇）,一般经济,,47
Journal of Business Economics,期刊,,1861-8928,管理科学 C（2025总汇）,一般经济,,60
Journal of Cultural Economics,期刊,,0885-2545,管理科学 C（2025总汇）,一般经济,,20
Journal of Economic Issues,期刊,,0021-3624,管理科学 C（2025总汇）,一般经济,,51
Journal of Economics,期刊,,0931-8658,管理科学 C（2025总汇）,一般经济,,25
Journal of Institutional Economics,期刊,,1744-1374,管理科学 C（2025总汇）,一般经济,,13
Journal of Pension Economics & Finance,期刊,,1474-7472,管理科学 C（2025总汇）,一般经济,,49
Journal of Public Economic Theory,期刊,,1097-3923,管理科学 C（2025总汇）,一般经济,,49
Oxford Review of Economic Policy,期刊,,0266-903X,管理科学 C（2025总汇）,一般经济,,23
Public Choice,期刊,,0048-5829,管理科学 C（2025总汇）,一般经济,,17
Review of Political Economy,期刊,,0953-8259,管理科学 C（2025总汇）,一般经济,,29
Scandinavian Journal of Economics,期刊,,0347-0520,管理科学 C（2025总汇）,一般经济,,26
Southern Economic Journal,期刊,,0038-4038,管理科学 C（2025总汇）,一般经济,,32
Australian Economic Review,期刊,,0004-9018,管理科学 D（2025总汇）,一般经济,,47
Australian Tax Forum,期刊,,0812-695X,管理科学 D（2025总汇）,一般经济,,60
Canadian Tax Journal,期刊,,0008-5111,管理科学 D（2025总汇）,一般经济,,60
China Economic Quarterly International,期刊,,2666-9331,管理科学 D（2025总汇）,一般经济,,12
De Economist,期刊,,0013-063X,管理科学 D（2025总汇）,一般经济,,16
Eastern Economic Journal,期刊,,0094-5056,管理科学 D（2025总汇）,一般经济,,54
Economics of Governance,期刊,,1435-6104,管理科学 D（2025总汇）,一般经济,,51
European Journal of Economics and Economic Policies: Intervention,期刊,,2052-7764,管理科学 D（2025总汇）,一般经济,,32
European Journal of Law and Economics,期刊,,0929-1261,管理科学 D（2025总汇）,一般经济,,43
International Journal of Management Practice,期刊,,1477-9064,管理科学 D（2025总汇）,一般经济,,60
International Journal of Political Economy,期刊,,0891-1916,管理科学 D（2025总汇）,一般经济,,35
International Studies of Economics,期刊,,2831-3224,管理科学 D（2025总汇）,一般经济,,54
Japanese Economic Review,期刊,,1352-4739,管理科学 D（2025总汇）,一般经济,,54
Journal of Competition Law & Economics,期刊,,1744-6414,管理科学 D（2025总汇）,一般经济,,41
Journal of Media Economics,期刊,,0899-7764,管理科学 D（2025总汇）,一般经济,,21
Research in Economics,期刊,,1090-9443,管理科学 D（2025总汇）,一般经济,,35
Review of Austrian Economics,期刊,,0889-3047,管理科学 D（2025总汇）,一般经济,,58
Review of Law & Economics,期刊,,1555-5879,管理科学 D（2025总汇）,一般经济,,58
Review of Radical Political Economics,期刊,,0486-6134,管理科学 D（2025总汇）,一般经济,,43
SERIEs: Journal of the Spanish Economic Association,期刊,,1869-4187,管理科学 D（2025总汇）,一般经济,,54
Journal of Consumer Research,期刊,,0093-5301,管理科学 A（2025总汇）,营销,,15
Journal of Marketing,期刊,,0022-2429,管理科学 A（2025总汇）,营销,,2
Journal of Marketing Research,期刊,,0022-2437,管理科学 A（2025总汇）,营销,,26
Marketing Science,期刊,,0732-2399,管理科学 A（2025总汇）,营销,,27
European Journal of Marketing,期刊,,0309-0566,管理科学 B（2025总汇）,营销,,25
Industrial Marketing Management,期刊,,0019-8501,管理科学 B（2025总汇）,营销,,10
International Journal of Research in Marketing,期刊,,0167-8116,管理科学 B（2025总汇）,营销,,10
International Marketing Review,期刊,,0265-1335,管理科学 B（2025总汇）,营销,,29
Journal of Advertising,期刊,,0091-3367,管理科学 B（2025总汇）,营销,,13
Journal of Advertising Research,期刊,,0021-8499,管理科学 B（2025总汇）,营销,,50
Journal of Consumer Psychology,期刊,,1057-7408,管理科学 B（2025总汇）,营销,,16
Journal of Interactive Marketing,期刊,,1094-9968,管理科学 B（2025总汇）,营销,,8
Journal of International Marketing,期刊,,1069-031X,管理科学 B（2025总汇）,营销,,36
Journal of Public Policy & Marketing,期刊,,0743-9156,管理科学 B（2025总汇）,营销,,28
Journal of Retailing,期刊,,0022-4359,管理科学 B（2025总汇）,营销,,3
Journal of Service Research,期刊,,1094-6705,管理科学 B（2025总汇）,营销,,6
Journal of the Academy of Marketing Science,期刊,,0092-0703,管理科学 B（2025总汇）,营销,,4
Marketing Letters,期刊,,0923-0645,管理科学 B（2025总汇）,营销,,47
Marketing Theory,期刊,,1470-5931,管理科学 B（2025总汇）,营销,,46
Psychology & Marketing,期刊,,0742-6046,管理科学 B（2025总汇）,营销,,5
Quantitative Marketing and Economics,期刊,,1570-7156,管理科学 B（2025总汇）,营销,,58
Advances in Consumer Research,期刊,,0098-9258,管理科学 C（2025总汇）,营销,,60
Business Process Management Journal,期刊,,1463-7154,管理科学 C（2025总汇）,营销,,18
Consumption Markets & Culture,期刊,,1025-3866,管理科学 C（2025总汇）,营销,,51
International Journal of Advertising,期刊,,0265-0487,管理科学 C（2025总汇）,营销,,17
International Journal of Consumer Studies,期刊,,1470-6423,管理科学 C（2025总汇）,营销,,9
International Journal of Market Research,期刊,,1470-7853,管理科学 C（2025总汇）,营销,,57
International Journal of Retail & Distribution Management,期刊,,0959-0552,管理科学 C（2025总汇）,营销,,20
Journal of Brand Management,期刊,,1350-231X,管理科学 C（2025总汇）,营销,,37
Journal of Business & Industrial Marketing,期刊,,0885-8624,管理科学 C（2025总汇）,营销,,33
Journal of Business-to-Business Marketing,期刊,,1051-712X,管理科学 C（2025总汇）,营销,,47
Journal of Communication,期刊,,0021-9916,管理科学 C（2025总汇）,营销,,20
Journal of Consumer Affairs,期刊,,0022-0078,管理科学 C（2025总汇）,营销,,42
Journal of Consumer Behaviour,期刊,,1472-0817,管理科学 C（2025总汇）,营销,,24
