期刊名称,类型,别名,简称,ISSN,中科院分区,中科院版本,CCF级别,CCF版本,CCF中文期刊标签,CCF中文期刊版本,影响因子,影响因子年份,影响因子来源,学校等级,学校名称,学校版本,中科院学科标签,中科院升级版标签,JCR分区标签,新锐分区标签,新锐版本,检索标签,北大中文核心标签,南大中文核心标签,CSSCI扩展版标签,中国科技核心标签,CSCD核心库标签,CSCD扩展库标签,中国科协高质量期刊标签,SJR标签,期刊类型标签,预警标签,其他标签,来源链接
Australian & New Zealand Journal of Statistics,期刊,Australian & New Zealand Journal of Statistics,,1369-1473|1467-842X,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 C（2025总汇）,,,,,
Bayesian Analysis,期刊,,,1931-6690,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Canadian Journal of Statistics-Revuecanadienne De STATISTIQUE,期刊,,,0319-5724,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Communications in Mathematics and Statistics,期刊,Communications in Mathematics and Statistics,,2194-6701|21946701,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,2025-2026,,,,,,,
Computational Statistics,期刊,,,0943-4062,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Electronic Journal of Statistics,期刊,Electronic Journal of Statistics,,1935-7524,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 C（2025总汇）,,,,,
Journal of Applied Statistics,期刊,Journal of Applied Statistics,,0266-4763,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 C（2025总汇）,,,,,
Journal of Statistical Planning and Inference,期刊,Journal of Statistical Planning and Inference,,0378-3758,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 C（2025总汇）,,,,,
Journal of Statistical Software,期刊,,,1548-7660,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Statistical Methods in Medical Research,期刊,STATISTICAL METHODS IN MEDICAL RESEARCH,,0962-2802|09622802,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,预防医学与卫生学 T2（2025总汇）,,,,,
Statistical Papers,期刊,Statistical papers,,0932-5026,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 D（2025总汇）,,,,,
Statistics & Probability Letters,期刊,,,0167-7152,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
TEST,期刊,,,1133-0686,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Applied Psycholinguistics,期刊,,,0142-7164,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Bilingualism-Language and Cognition,期刊,,,1366-7289,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Cognitive Linguistics,期刊,,,0936-5907,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Communication Theory,期刊,,,1050-3293,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
English for Specific Purposes,期刊,,,0889-4906,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Journal of Compute-Mediated Communication,期刊,Journal of Compute-Mediated Communication,,1083-6101,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 C（2025总汇）,,,,,
Journal of English for Academic Purposes,期刊,,,1475-1585,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Language in Society,期刊,,,0047-4045,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Public Understanding of Science,期刊,,,0963-6625,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Research on Language and Social Interaction,期刊,,,0835-1813,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Science Communication,期刊,,,1075-5470,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Social Media + Society,期刊,,,2056-3051,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
TESOL Quarterly,期刊,,,0039-8322,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Astronomy & Astrophysics,期刊,,,0004-6361,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Monthly Notices of the Royal Astronomical Society,期刊,,,0035-8711,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Nature Astronomy,期刊,,,2397-3366,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Physica A-Statistical Mechanics and Its Applications,期刊,Physica A-Statistical Mechanics and its Applications,,0378-4371|03784371,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,自动化 A（2025总汇）,,,,,
Physical Review E,期刊,PHYSICAL REVIEW E,,2470-0045|24700045,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,自动化 A（2025总汇）|声学 T1（2025总汇）,,,,,
Computers in Human Behavior,期刊,Computers in Human Behavior,,0747-5632,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 B（2025总汇）,,,,,
Journal of Applied Behavioral Science,期刊,Journal of Applied Behavioral Science,,0021-8863,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 C（2025总汇）,,,,,
Journal of Business and Psychology,期刊,Journal of Business and Psychology,,0889-3268,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 B（2025总汇）,,,,,
Journal of Occupational and Organizational Psychology,期刊,Journal of Occupational and Organizational Psychology,,0963-1798,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 B（2025总汇）,,,,,
Journal of Occupational Health Psychology,期刊,Journal of Occupational Health Psychology,,1076-8998,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 B（2025总汇）,,,,,
Media Psychology,期刊,,,1521-3269,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,,,,,,
Work and Stress,期刊,Work and Stress,,0267-8373,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 B（2025总汇）,,,,,
Economics and Philosophy,期刊,Economics and Philosophy,,0266-2671,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,,,,管理科学 C（2025总汇）,,,,,
National Science Review,期刊,National Science Review|National Science Review国家科学评论(英文),,2095-5138|20955138,,,,,,,,,,B,云南财经大学,2026,,,,,,,,,,2025,2025-2026,,声学 T1（2025总汇）,,,,,
2D Materials,期刊,,,20531583,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T1（2025总汇）,,,,,
Aapg Bulletin,期刊,,,01491423,,,,,,,,,,,,,,,,,,,,,,,,,石油、天然气工业 T1（2025总汇）,,,,,
AATCC Journal of Research,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,纺织 T3（2025总汇）,,,,,
Abdominal Imaging,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
aBIOTECH,期刊,,,20966326,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
ACADEMIC EMERGENCY MEDICINE,期刊,,,10696563,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
ACADEMIC MEDICINE,期刊,,,10402446,,,,,,,,,,,,,,,,,,,,,,,,,预防医学与卫生学 T1（2025总汇）,,,,,
Academic Radiology,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Accounts of Materials Research,期刊,,,26436728,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
ACM Journal on Computing and Cultural Heritage,期刊,,,15564673,,,,,,,,,,,,,,,,,,,,,,,,,图学 T3（2025总汇）,,,,,
ACM Transactions on Modeling and Computer Simulation,期刊,ACM Transactions on Modeling and Computer,,10493301|1049-3301,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）|仿真科学与技术 T1（2025总汇）|管理科学 B（2025总汇）,,,,,
ACM Transactions on Parallel Computing,期刊,,,23294949,,,,,,,,,,,,,,,,,,,,,,,,,仿真科学与技术 T3（2025总汇）,,,,,
ACOUSTICAL PHYSICS,期刊,,,10637710,,,,,,,,,,,,,,,,,,,,,,,,,声学 T3（2025总汇）,,,,,
ACOUSTICS AUSTRALIA,期刊,,,08146039,,,,,,,,,,,,,,,,,,,,,,,,,声学 T3（2025总汇）,,,,,
Acoustics Bulletin,期刊,,,0308437X,,,,,,,,,,,,,,,,,,,,,,,,,声学 T3（2025总汇）,,,,,
ACS Agricultural Science and Technology,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T2（2025总汇）,,,,,
ACS Applied Electronic Materials,期刊,,,26376113,,,,,,,,,,,,,,,,,,,,,,,,,电气工程 T3（2025总汇）,,,,,
ACS Applied Materials & Interfaces,期刊,,,19448244|19448252,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）|核 T1（2025总汇）|无机非金属材料 T1（2025总汇）,,,,,
ACS Energy Letters,期刊,,,23808195,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T2（2025总汇）,,,,,
ACS ES&T Engineering,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,环境科学 T3（2025总汇）,,,,,
ACS ES&T Water,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,环境科学 T2（2025总汇）,,,,,
ACS INFECTIOUS DISEASES,期刊,,,23738227,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
ACS Photonics,期刊,,,23304022,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）|无机非金属材料 T2（2025总汇）|电子及信息技术 T1（2025总汇）,,,,,
ACS Sensors,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,仪器仪表 T1（2025总汇）,,,,,
ACS Sustainable Chemistry & Engineering,期刊,,,21680485,,,,,,,,,,,,,,,,,,,,,,,,,环境科学 T3（2025总汇）|化工 T1（2025总汇）,,,,,
ACS Synthetic Biology,期刊,,,21615063,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）,,,,,
ACTA ACUSTICA,期刊,,,26814617,,,,,,,,,,,,,,,,,,,,,,,,,声学 T3（2025总汇）,,,,,
Acta Amazonica,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态学 T3（2025总汇）,,,,,
Acta Astronautica,期刊,,,00945765,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）|航空航天 T1（2025总汇）|兵器科学与技术（武器工业） T3（2025总汇）,,,,,
Acta Biochimica et Biophysica Sinica,期刊,,,16729145,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,,,,,,
ACTA BIOMATERIALIA,期刊,,,17427061,,,,,,,,,,,,,,,,,,,,,,,,,生物医学工程 T1（2025总汇）,,,,,
ACTA DERMATO-VENEREOLOGICA,期刊,,,00015555,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
Acta epileptologica,期刊,,,20969384,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Acta Geochimica,期刊,,,20960956,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Acta Geologica Sinica,期刊,,,10009515,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
ACTA GEOLOGICA SINICA ENGLISH EDITION,期刊,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,
ACTA GEOPHYSICA,期刊,,,18956572|18957455,,,,,,,,,,,,,,,,,,,,,,,,,地球物理 T3（2025总汇）|声学 T3（2025总汇）,,,,,
ACTA MATERIALIA,期刊,,,13596454,,,,,,,,,,,,,,,,,,,,,,,,,有色金属 T1（2025总汇）|冶金工程技术与金属材料（金属学与金属工艺） T1（2025总汇）,,,,,
Acta Mathematica Sinica. English Series,期刊,ACTA MATHEMATICA SINICA ENGLISH SERIES,,14398516,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,,,,,,
ACTA MATHEMATICAE APPLICATAE SINICA,期刊,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,
Acta Mathematicae Applicatae Sinica-English Series,期刊,,,01689673,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Acta Mechanica Sinica,期刊,ACTA MECHANICA SINICA力学学报(英文 版),,05677718,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,声学 T2（2025总汇）,,,,,
Acta Mechanica Solida Sinica,期刊,,,08949166,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
ACTA METALLURGICA SINICA,期刊,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,
Acta Metallurgica Slovaca,期刊,,,13351532,,,,,,,,,,,,,,,,,,,,,,,,,有色金属 T2（2025总汇）,,,,,
ACTA NEUROPATHOLOGICA,期刊,,,00016322,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）|临床医学 T2（2025总汇）,,,,,
Acta Neuropathologica Communications,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
ACTA NEUROPSYCHIATRICA,期刊,,,16015215,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Acta Oecologica-International Journal of Ecology,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态学 T3（2025总汇）,,,,,
Acta Ophthalmologica,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
ACTA ORTHOPAEDICA,期刊,,,17453674,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
Acta Oto-Laryngologica,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Acta Paediatrica,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Acta Pharmaceutica Sinica B,期刊,,,22113835,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,,,,,,
Acta Pharmacologica Sinica,期刊,,,16714083,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,,,,,,
ACTA PSYCHIATRICA SCANDINAVICA,期刊,,,0001690X,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
Acta Radiologica,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Acta Technologica Agriculturae,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T2（2025总汇）,,,,,
Acupuncture and Herbal Medicine,期刊,,,20970226,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,,,,,,
Adapted Physical Activity Quarterly,期刊,,,07365829,,,,,,,,,,,,,,,,,,,,,,,,,体育 T2（2025总汇）,,,,,
ADDICTION,期刊,,,09652140,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
ADDICTIVE BEHAVIORS,期刊,,,03064603,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Additive Manufacturing Frontiers,期刊,,,29504317,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Advanced Agrochem,期刊,,,27732371,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Advanced Devices & Instrumentation,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,仪器仪表 T2（2025总汇）,,,,,
ADVANCED ELECTRONIC,期刊,Advanced Electronic Materials,,2199160X,,,,,,,,,,,,,,,,,,,,,,,,,能源电力 T2（2025总汇）|电子及信息技术 T1（2025总汇）,,,,,
ADVANCED ENERGY MATERIALS,期刊,,,16146832,,,,,,,,,,,,,,,,,,,,,,,,,能源电力 T1（2025总汇）|无机非金属材料 T1（2025总汇）,,,,,
Advanced Fiber Materials,期刊,,,25247921,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,纺织 T1（2025总汇）,,,,,
Advanced Functional Materials,期刊,,,1616301X,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T1（2025总汇）,,,,,
ADVANCED HEALTHCARE MATERIALS,期刊,,,21922640,,,,,,,,,,,,,,,,,,,,,,,,,生物医学工程 T2（2025总汇）,,,,,
ADVANCED INTELLIGENT SYSTEMS,期刊,,,26404567,,,,,,,,,,,,,,,,,,,,,,,,,电子及信息技术 T2（2025总汇）|声学 T3（2025总汇）,,,,,
ADVANCED MATERIALS,期刊,,,09359648,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T1（2025总汇）|照明 T1（2025总汇）|声学 T3（2025总汇）,,,,,
Advanced Materials Interfaces,期刊,,,21967350,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T2（2025总汇）,,,,,
Advanced Optical Materials,期刊,,,21951071,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T1（2025总汇）,,,,,
Advanced Photonics,期刊,,,25775421,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Advanced Photonics Nexus,期刊,,,27911519,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Advanced Powder Materials,期刊,,,2772834X,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Advanced Robotics,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）,,,,,
Advanced Steel Construction,期刊,,,1816112X,,,,,,,,,,,,,,,,,,,,,,,,,冶金工程技术与金属材料（金属学与金属工艺） T3（2025总汇）,,,,,
Advances in Aerodynamics,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,航空航天 T3（2025总汇）,,,,,
Advances in Agriculture,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T3（2025总汇）,,,,,
Advances in Applied Ceramics,期刊,,,17436753,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T2（2025总汇）,,,,,
Advances in Applied Mathematics and Mechanics,期刊,,,20700733,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Advances in Atmospheric Sciences,期刊,Advances in Atmospheric Sciences(大气科学进展英文 版),,02561530,,,,,,,,,,,,,,,,,,,,,,2025,2025-2026,,地球物理 T2（2025总汇）,,,,,
Advances in Botanical Research,期刊,,,00652296,,,,,,,,,,,,,,,,,,,,,,,,,植物科学 T3（2025总汇）,,,,,
Advances in Bridge Engineering,期刊,,,26625407,,,,,,,,,,,,,,,,,,,,,,,,,铁路运输 T3（2025总汇）,,,,,
Advances in Cement Research,期刊,,,09517197,,,,,,,,,,,,,,,,,,,,,,,,,无机非金属材料 T3（2025总汇）,,,,,
ADVANCES IN CLINICAL CHEMISTRY,期刊,,,00652423,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
Advances in Data Analysis and Classification,期刊,,,18625347,,,,,,,,,,,,,,,,,,,,,,,,,电子及信息技术 T3（2025总汇）,,,,,
Advances in Geo-Energy Research,期刊,Advances in Geo- Energy Research,,22079963,,,,,,,,,,,,,,,,,,,,,,,,,地球物理 T1（2025总汇）|石油、天然气工业 T2（2025总汇）,,,,,
Advances in Geophysics,期刊,,,00652687,,,,,,,,,,,,,,,,,,,,,,,,,地球物理 T1（2025总汇）,,,,,
ADVANCES IN HEALTH SCIENCES EDUCATION,期刊,,,13824996,,,,,,,,,,,,,,,,,,,,,,,,,预防医学与卫生学 T3（2025总汇）,,,,,
Advances in high energy physics,期刊,,,16877357,,,,,,,,,,,,,,,,,,,,,,,,,核 T3（2025总汇）,,,,,
Advances in Manufacturing,期刊,,,20953127,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,期刊,,,25152459,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
Advances in Neonatal Care,期刊,,,15360903,,,,,,,,,,,,,,,,,,,,,,,,,护理学 T3（2025总汇）,,,,,
Advances in Nursing Science,期刊,,,01619268,,,,,,,,,,,,,,,,,,,,,,,,,护理学 T3（2025总汇）,,,,,
Advances in Nutrition,期刊,,,21618313,,,,,,,,,,,,,,,,,,,,,,,,,食品科学与工程 T1（2025总汇）,,,,,
ADVANCES IN OPHTHALMOLOGY PRACTICE AND RESEARCH,期刊,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,
Advances in Optics and Photonics,期刊,,,19438206,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A+（2025总汇）,,,,,
Advances in Polar Science,期刊,,,16749928,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Advances in production engineering & management,期刊,,,18546250,,,,,,,,,,,,,,,,,,,,,,,,,核 T3（2025总汇）,,,,,
Advances in Skin & Wound Care,期刊,,,15277941,,,,,,,,,,,,,,,,,,,,,,,,,护理学 T2（2025总汇）,,,,,
Advances in Space Research,期刊,,,02731177,,,,,,,,,,,,,,,,,,,,,,,,,航空航天 T3（2025总汇）|地球物理 T2（2025总汇）,,,,,
ADVANCES IN TRANSPORTATION STUDIES,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,公路运输 T3（2025总汇）,,,,,
Advances in Wound Care,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Aerospace Science and Technology,期刊,,,12709638,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）|航空航天 T3（2025总汇）|仿真科学与技术 T2（2025总汇）|兵器科学与技术（武器工业） T2（2025总汇）,,,,,
Aerospace Systems,期刊,,,25233947,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Aesthetic Plastic Surgery,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Aesthetic Surgery Journal,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
AEU-International Journal of Electronics and Communications,期刊,,,14348411,,,,,,,,,,,,,,,,,,,,,,,,,电子及信息技术 T3（2025总汇）,,,,,
African Journal of Ecology,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态学 T3（2025总汇）,,,,,
African Journal of Range & Forage Science,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态学 T3（2025总汇）,,,,,
African Journal of Wildlife Research,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态学 T3（2025总汇）,,,,,
AGE AND AGEING,期刊,,,00020729,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
AGEING RESEARCH REVIEWS,期刊,,,15681637,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
Aggregate,期刊,,,26924560,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
AGING AND DISEASE,期刊,,,21525250,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
AGING CELL,期刊,,,14749718,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）|细胞生物学 T3（2025总汇）,,,,,
AGING-US,期刊,,,19454589,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
Agricultural and Forest Meteorology,期刊,,,01681923,,,,,,,,,,,,,,,,,,,,,,,,,植物科学 T2（2025总汇）,,,,,
Agricultural Engineering,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T3（2025总汇）,,,,,
Agricultural Engineering International: CIGR Journal,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T3（2025总汇）,,,,,
Agricultural Science & Technology 农业科学与技术(英文版),期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T3（2025总汇）,,,,,
Agricultural Systems,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T1（2025总汇）,,,,,
Agricultural Water Management,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T1（2025总汇）,,,,,
Agriculture,期刊,,,20770472,,,,,,,,,,,,,,,,,,,,,,,,,食品科学与工程 T3（2025总汇）,,,,,
Agriculture Ecosystems & Environment,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,生态学 T1（2025总汇）,,,,,
"Agriculture, Ecosystems & Environment",期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,环境科学 T3（2025总汇）,,,,,
AgriEngineering,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T2（2025总汇）,,,,,
Agroecology and Sustainable Food Systems,期刊,,,21683565,,,,,,,,,,,,,,,,,,,,,,,,,食品科学与工程 T3（2025总汇）,,,,,
"Agrosystems, Geosciences and Environment",期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,农业工程 T3（2025总汇）,,,,,
AIAA Journal,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,航空航天 T1（2025总汇）|兵器科学与技术（武器工业） T3（2025总汇）,,,,,
AIChE Journal,期刊,,,00011541|15475905,,,,,,,,,,,,,,,,,,,,,,,,,自动化 A（2025总汇）|环境科学 T3（2025总汇）|石油、天然气工业 T1（2025总汇）|化工 T1（2025总汇）,,,,,
AIDS,期刊,,,02699370,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
AIDS PATIENT CARE AND STDS,期刊,,,10872914,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
Aircraft Engineering and Aerospace Technology,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,航空航天 T2（2025总汇）,,,,,
Algae,期刊,,,12262617,,,,,,,,,,,,,,,,,,,,,,,,,植物科学 T3（2025总汇）,,,,,
Algebra Colloquium,期刊,,,10053867,,,,,,,,,,,,,,,,,,,,,,,2025-2026,,,,,,,
Alimentary Pharmacology & Therapeutics,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T2（2025总汇）,,,,,
Alzheimers & Dementia,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
AMERICAN FAMILY PHYSICIAN,期刊,,,0002838X,,,,,,,,,,,,,,,,,,,,,,,,,预防医学与卫生学 T3（2025总汇）,,,,,
American Heart Journal,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
American Journal of Audiology,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
American Journal of Botany,期刊,,,00029122,,,,,,,,,,,,,,,,,,,,,,,,,植物科学 T2（2025总汇）,,,,,
American Journal of Cardiology,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
AMERICAN JOURNAL OF CHINESE MEDICINE,期刊,,,0192415X,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,期刊,,,11750561,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,期刊,,,00029173,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T3（2025总汇）,,,,,
American Journal of Emergency Medicine,期刊,,,,,,,,,,,,,,,,,,,,,,,,,,,,临床医学 T1（2025总汇）,,,,,
American Journal of Enology and Viticulture,期刊,,,00029254,,,,,,,,,,,,,,,,,,,,,,,,,食品科学与工程 T3（2025总汇）,,,,,
AMERICAN JOURNAL OF EPIDEMIOLOGY,期刊,,,00029262,,,,,,,,,,,,,,,,,,,,,,,,,预防医学与卫生学 T1（2025总汇）,,,,,
